,0,index
0,1,112
1,-1,997
2,-1,2833
3,-1,4335
4,-1,2587
5,-1,3013
6,-1,4372
7,-1,2794
8,-1,1138
9,0,256
10,-1,3507
11,0,3688
12,0,2762
13,-1,465
14,-1,2133
15,-1,359
16,-1,1958
17,-1,3832
18,-1,2313
19,-1,3115
20,-1,686
21,-1,2312
22,-1,1866
23,-1,2930
24,-1,4446
25,1,531
26,-1,1549
27,-1,691
28,-1,3183
29,-1,262
30,0,3285
31,-1,1348
32,0,1996
33,-1,1226
34,-1,345
35,-1,2122
36,0,3824
37,-1,2404
38,-1,1588
39,-1,2815
40,-1,946
41,-1,3922
42,-1,1031
43,0,3579
44,-1,3173
45,-1,1651
46,-1,3171
47,0,1304
48,-1,884
49,1,864
50,-1,3925
51,-1,1166
52,0,2119
53,-1,117
54,-1,206
55,-1,720
56,-1,2828
57,-1,991
58,-1,2372
59,-1,1394
60,-1,4301
61,-1,2796
62,-1,2682
63,0,3614
64,-1,2592
65,-1,2480
66,-1,4180
67,-1,3080
68,-1,670
69,-1,1065
70,-1,3046
71,-1,3833
72,-1,746
73,0,3626
74,-1,1032
75,-1,2961
76,-1,1725
77,-1,3462
78,-1,3223
79,-1,791
80,-1,1303
81,-1,2731
82,-1,4472
83,-1,203
84,-1,498
85,-1,122
86,-1,1944
87,-1,177
88,-1,3282
89,-1,4440
90,0,3912
91,-1,700
92,-1,2142
93,-1,1297
94,-1,2982
95,0,3785
96,-1,2272
97,-1,3784
98,-1,2377
99,0,2218
100,1,3422
101,-1,4395
102,-1,2322
103,0,3745
104,-1,306
105,-1,2713
106,-1,1791
107,-1,2582
108,0,3065
109,0,2070
110,-1,1396
111,-1,2638
112,0,1274
113,-1,2664
114,-1,14
115,0,1156
116,0,2985
117,-1,987
118,0,129
119,0,3531
120,-1,2860
121,-1,1550
122,-1,2650
123,0,672
124,0,1701
125,-1,1172
126,0,3732
127,-1,318
128,-1,1987
129,0,3871
130,-1,2194
131,1,290
132,-1,3284
133,-1,1504
134,-1,3437
135,0,4400
136,0,3663
137,-1,4242
138,-1,3572
139,-1,201
140,-1,438
141,-1,2749
142,-1,1113
143,-1,517
144,-1,2474
145,-1,1636
146,1,2024
147,-1,1581
148,0,2563
149,-1,2108
150,-1,2066
151,0,2347
152,-1,3349
153,0,2665
154,-1,1942
155,-1,2698
156,-1,4246
157,-1,586
158,-1,1919
159,-1,386
160,-1,4043
161,-1,2809
162,-1,1041
163,-1,4319
164,-1,905
165,-1,3326
166,-1,2251
167,-1,4177
168,-1,3291
169,-1,126
170,-1,3898
171,-1,3631
172,0,3633
173,-1,396
174,-1,3875
175,-1,633
176,0,1789
177,-1,1324
178,-1,2804
179,-1,2680
180,-1,629
181,0,4423
182,-1,2704
183,0,283
184,-1,1848
185,0,2588
186,-1,1975
187,-1,653
188,-1,2380
189,-1,1027
190,-1,789
191,-1,3020
192,-1,769
193,-1,1474
194,-1,2430
195,-1,1653
196,-1,1867
197,0,3520
198,-1,688
199,-1,94
200,-1,3885
201,-1,3738
202,-1,210
203,0,2992
204,-1,2232
205,-1,40
206,-1,761
207,-1,3519
208,-1,4092
209,-1,3933
210,0,3845
211,-1,4459
212,-1,269
213,-1,4479
214,0,1225
215,1,1649
216,-1,2356
217,0,1450
218,-1,125
219,-1,1055
220,-1,2707
221,-1,1391
222,-1,3086
223,-1,701
224,0,3417
225,-1,4254
226,0,3820
227,-1,2294
228,-1,2046
229,0,3787
230,0,2911
231,-1,291
232,-1,1621
233,-1,3035
234,0,1315
235,-1,439
236,-1,4230
237,0,2315
238,0,678
239,0,1998
240,-1,1174
241,-1,1888
242,-1,4435
243,0,3804
244,0,3687
245,-1,2995
246,-1,2083
247,-1,1741
248,-1,2439
249,-1,615
250,-1,3362
251,-1,2151
252,-1,2130
253,0,3581
254,-1,222
255,-1,1749
256,-1,2649
257,-1,1656
258,0,1140
259,-1,3224
260,-1,1129
261,0,4413
262,-1,1017
263,-1,2746
264,-1,2547
265,0,960
266,-1,823
267,-1,4231
268,-1,4195
269,-1,3275
270,0,984
271,-1,1964
272,-1,3339
273,-1,2849
274,0,1248
275,-1,1952
276,0,3706
277,-1,1048
278,-1,2623
279,-1,511
280,-1,2087
281,-1,2528
282,-1,3799
283,-1,4124
284,-1,461
285,-1,2398
286,-1,1991
287,-1,1842
288,-1,1961
289,-1,616
290,1,4249
291,-1,3770
292,0,3636
293,-1,4415
294,-1,1537
295,-1,3403
296,-1,2144
297,0,4348
298,-1,1503
299,-1,2181
300,-1,3505
301,-1,2134
302,-1,93
