,0,index
0,1,1115
1,1,1380
2,1,693
3,1,1510
4,1,463
5,1,628
6,1,1289
7,0,2114
8,1,3117
9,1,3280
10,1,2656
11,1,2710
12,1,1395
13,1,4758
14,1,1193
15,1,2898
16,0,4230
17,1,3112
18,1,505
19,1,1429
20,1,432
21,1,3025
22,0,943
23,1,4117
24,0,1148
25,1,2471
26,0,1159
27,0,4073
28,1,4638
29,1,2720
30,1,351
31,-1,4400
32,1,3206
33,0,758
34,1,1790
35,0,192
36,1,4459
37,1,67
38,1,2121
39,1,1283
40,1,3303
41,0,2184
42,1,130
43,0,834
44,0,3551
45,1,2987
46,1,4072
47,1,2899
48,-1,126
49,0,4504
50,0,3255
51,1,153
52,1,4278
53,0,4116
54,1,554
55,1,2305
56,0,4346
57,1,2370
58,1,1096
59,1,2646
60,0,1788
61,1,3283
62,1,2673
63,0,828
64,1,3968
65,0,4536
66,1,2343
67,-1,37
68,1,2897
69,1,4688
70,1,2936
71,0,2735
72,1,4477
73,1,1933
74,1,3275
75,0,4566
76,1,4017
77,1,2110
78,1,1895
79,1,1897
80,0,2965
81,1,3821
82,1,185
83,1,1750
84,1,2942
85,1,4448
86,0,3080
87,1,1939
88,1,1567
89,1,1122
90,1,397
91,1,1647
92,0,4633
93,1,3910
94,0,3629
95,1,394
96,1,4009
97,1,3655
98,1,4279
99,0,4190
100,-1,470
101,1,310
102,0,2177
103,0,129
104,0,2267
105,0,4502
106,1,1397
107,1,2733
108,0,3830
109,1,4767
110,1,1206
111,0,2190
112,0,3321
113,1,2379
114,1,3176
115,1,3376
116,1,1597
117,0,4104
118,1,4259
119,0,476
120,0,1126
121,1,2886
122,1,1587
123,0,1050
124,1,3674
125,1,1908
126,1,1659
127,1,1406
128,0,456
129,1,2489
130,0,2130
131,1,3826
132,1,1390
133,1,2387
134,1,3564
135,1,3829
136,1,3582
137,1,3832
138,0,2984
139,1,1800
140,1,1993
141,1,295
142,1,3464
143,1,2108
144,1,1407
145,1,53
146,0,4729
147,0,4734
148,1,459
149,1,3507
150,1,4401
151,1,2974
152,1,592
153,1,2986
154,1,1467
155,1,2868
156,1,4597
157,0,2475
158,1,2265
159,1,4760
160,0,2911
161,1,1876
162,1,3416
163,1,3676
164,1,3366
165,1,369
166,0,4631
167,1,439
168,1,3335
169,1,610
170,1,3898
171,1,145
172,1,2446
173,1,1388
174,1,1822
175,1,3893
176,1,1430
177,1,4238
178,1,4455
179,1,4661
180,1,1685
181,0,1549
182,0,1980
183,0,421
184,1,1457
185,1,444
186,0,675
187,1,2709
188,1,3756
189,0,3622
190,0,4589
191,0,756
192,1,190
193,1,3383
194,1,1435
195,1,304
196,1,282
197,1,3146
198,0,3825
199,1,4215
200,1,1596
201,1,1166
202,1,1307
203,1,3436
204,1,2049
